step,sat_id,role,x,y,z,vx,vy,vz
0,A0,observer,42163977.57906678,30746.0,0.0,-2.2420933214634613,3074.6,0.0
0,A1,observer,-30746.0,42163977.57906678,0.0,-3074.6,-2.2420933214634613,0.0
0,A2,observer,-42163977.57906678,-30746.0,0.0,2.2420933214634613,-3074.6,0.0
0,A3,defender,48246.0,-42125395.57906678,0.0,4824.6,3860.4420933214637,0.0
0,E0,enemy,34979988.49580559,34979988.49580559,0.0,-2001.1504194407387,-2001.1504194407387,0.0
1,A0,observer,42163932.73719439,61491.9836506365,0.0,-4.48418723912391,3074.5983650636504,0.0
1,A1,observer,-61491.9836506365,42163932.73719439,0.0,-3074.5983650636504,-4.48418723912391,0.0
1,A2,observer,-42163932.73719439,-61491.9836506365,0.0,4.48418723912391,-3074.5983650636504,0.0
1,A3,defender,113957.84527438441,-42048216.00434235,0.0,6571.184527438441,7717.957472443757,0.0
1,E0,enemy,34959965.47425027,34959965.47425027,0.0,-2002.3021555319172,-2002.3021555319172,0.0
2,A0,observer,42163865.47438878,92237.93460252862,0.0,-6.726280560882799,3074.595095189212,0.0
2,A1,observer,-92237.93460252862,42163865.47438878,0.0,-3074.595095189212,-6.726280560882799,0.0
2,A2,observer,-42163865.47438878,-92237.93460252862,0.0,6.726280560882799,-3074.595095189212,0.0
2,A3,defender,197092.63252714393,-41932509.79528431,0.0,8313.478725275952,11570.620905803584,0.0
2,E0,enemy,34939930.92213732,34939930.92213732,0.0,-2003.4552112949161,-2003.4552112949161,0.0
3,A0,observer,42163775.79066783,122983.83650628677,0.0,-8.968372094638093,3074.5901903758145,0.0
3,A1,observer,-122983.83650628677,42163775.79066783,0.0,-3074.5901903758145,-8.968372094638093,0.0
3,A2,observer,-42163775.79066783,-122983.83650628677,0.0,8.968372094638093,-3074.5901903758145,0.0
3,A3,defender,297598.7329167636,-41778344.69691187,0.0,10050.610038961964,15416.509837243642,0.0
3,E0,enemy,34919884.82623971,34919884.82623971,0.0,-2004.6095897610921,-2004.6095897610921,0.0
4,A0,observer,42163663.68606135,153729.67301252135,0.0,-11.2104606482849,3074.5836506234573,0.0
4,A1,observer,-153729.67301252135,42163663.68606135,0.0,-3074.5836506234573,-11.2104606482849,0.0
4,A2,observer,-42163663.68606135,-153729.67301252135,0.0,11.2104606482849,-3074.5836506234573,0.0
4,A3,defender,415415.8132796013,-41585807.649150655,0.0,11781.708036283771,19253.704776121383,0.0
4,E0,enemy,34899827.1733,34899827.1733,0.0,-2005.7652939718198,-2005.7652939718198,0.0
